Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Дахно;Остап;Соломонович;Чоловік;26-08-1960;Адвокат;селище Південне ;площа Вірського, буд. 14 кв. 26, Снятин, 18700;+380 57 509 31 46;bustenko@example.net
Хорішко;Богодар;Глібович;Чоловік;31-10-1941;Продюсер;хутір Калинівка ;площа Мукачівський, буд. 53, Рава-Руська, 02220;021 327 30 92;shupalo@example.com
Сагаль;Юстина;Олексівна;Жінка;19-04-2005;Зоолог;селище Вашківці;шосе Обільна, буд. 081 кв. 34, Кремінна, 59025;+380 93 021-92-19;khorishkomyron@example.com
Матвієнко;Тетяна;Ігнатівна;Жінка;16-03-1977;Головний меркшейдер;хутір Марганець ;сквер Долинська, буд. 312, Володимир-Волинський, 32958;+380 (92) 126-84-14;sachenkoamvrosii@example.org
Каденюк;Олекса;Демʼянович;Чоловік;06-10-1969;Паблік рилейшнз;село Пологи ;узвіз Залізничний 3-й, буд. 9, Кипуче, 76774;+380 (10) 416-75-40;stelmakheduard@example.org
Стельмах;Гліб;Теодорович;Чоловік;15-04-1979;Нотаріус;хутір Лисичанськ;площа Лиманчик 2-й Лінія 5-та, буд. 24 кв. 99, Маріуполь, 55424;047 605 20 45;orest57@example.net
Негода;Симон;Трохимович;Чоловік;07-09-1991;Льотчик;селище Часів Яр;набережна Пересипська 8-ма, буд. 191, Миронівка, 51231;436-88-23;bandriievych@example.org
Авраменко;Аркадій;Богданович;Чоловік;25-04-2000;Хореограф;хутір Винники;провулок Керченський 2-й, буд. 07 кв. 10, Хрустальний, 39037;948-20-80;veniiamynfranchuk@example.net
Давимука;Марина;Андріївна;Жінка;14-06-1968;Правник;селище Перещепине;площа Шкіперська, буд. 56 кв. 05, Зоринськ, 66051;+380 (22) 305-22-96;danylohutsuliak@example.com
Калениченко;Спас;Вʼячеславович;Чоловік;20-09-1999;Водій;селище Іллінці;набережна Восьмого березня узвіз, буд. 2 кв. 942, Баранівка, 34375;658 59 06;ustymchaika@example.org
Павленко;Лариса;Соломонівна;Жінка;26-01-1968;Стропальник;місто Дунаївці;шосе Чорноморський, буд. 48, Козятин, 55122;+380 64 300-92-62;frantsdanylenko@example.net
Архимович;Маруся;Назарівна;Жінка;09-12-1943;Євнух;село Щолкіне;площа 9-та Лінія Дачі Ковалевського, буд. 260, Тлумач, 98691;059 720-25-27;maksym72@example.com
Наливайко;Богданна;Левківна;Жінка;29-04-1949;Вчитель;селище Новий Калинів;набережна Панченка, буд. 63 кв. 0, Буча, 89184;+380 41 039-99-62;riabetsstanislav@example.org
Єрьоменко;Ада;Валентинівна;Жінка;21-01-1977;Адвокат;місто Узин;проспект Деревообробна, буд. 63 кв. 825, Вижниця, 15554;+380 (37) 413-17-03;anosachenko@example.org
Оберемко;Мілена;Орхипівна;Жінка;07-04-2007;Композитор;село Решетилівка;парк Олександра Невського 4-й, буд. 17 кв. 4, Носівка, 40589;160 68 48;danylo42@example.com
Баранець;Марія;Климентівна;Жінка;22-06-1951;Складальник;село Іршава;провулок Першотравневий 1-й, буд. 2, Виноградів, 31566;082-92-75;nbabychenko@example.com
Лазаренко;Єфрем;Леонідович;Чоловік;10-01-1991;Локсмайстер;селище Пологи ;проспект Соляний 1-й, буд. 35, Кам'янка-Бузька, 02912;056 503-33-85;holoborodkostepan@example.org
Єщенко;Яків;Йосипович;Чоловік;17-04-2001;Електрик;місто Молодогвардійськ;проспект Елеваторна, буд. 1, Жовті Води, 77033;788 52 78;ielysavetaonufriienko@example.com
Павличенко;Віолетта;Аркадіївна;Жінка;05-10-2007;Археолог;село Татарбунари;сквер Комітетська, буд. 92, Бахмут, 68770;+380 10 832-43-63;shvachkapanteleimon@example.org
Андрійович;Ірена;Азарівна;Жінка;20-03-1985;Соціолог;селище Тисмениця;сквер Василя Кандинського 4-й, буд. 5 кв. 133, Дніпрорудне, 47186;790-04-75;zlatoslavastus@example.com
Аврамчук;Юстина;Григоріївна;Жінка;16-05-1997;Кінорежисер;місто Баранівка;узвіз Анни Ахматової, буд. 40 кв. 2, Бахмач, 12290;+380 55 932 82 36;anzhela68@example.net
Рудько;Еріка;Орхипівна;Жінка;12-04-1996;Музикант;село Марганець ;сквер Сінна, буд. 337 кв. 57, Виноградів, 79960;+380 11 363 99 97;vdemianchuk@example.com
Дубенко;Максим;Климентович;Чоловік;31-10-1993;Детектив;хутір Ужгород;проспект Прохоровська, буд. 91 кв. 241, Таврійськ, 77884;+380 78 779-84-59;nzaporozhets@example.org
Теличенко;Аврелій;Ярославович;Чоловік;10-03-1953;Перекладач;хутір Кальміуське;узвіз Жуковського, буд. 9, Рені, 82364;+380 (88) 219-37-01;rozaliia07@example.net
Адамчук;Антон;Демидович;Чоловік;10-03-1945;Дерун;місто П'ятихатки;проспект Достоєвського, буд. 45, Дубровиця, 59392;000 818 64 48;orest40@example.com
Палій;Миколай;Юхимович;Чоловік;13-09-1964;Стоматолог;хутір Мерефа;провулок Прибережний, буд. 3, Жовті Води, 15932;+380 63 040 02 29;wfesenko@example.net
Ажажа;Маруся;Григоріївна;Жінка;24-11-1977;Дантист;місто Харцизьк;узвіз Миколи Гефта, буд. 018 кв. 902, Звенигородка, 83372;048 738-52-40;ialeksiichuk@example.com
Мамчур;Світлана;Симонівна;Жінка;05-11-1937;Програміст;селище Лохвиця;шосе Тепличний 1-й, буд. 93, Василівка , 91868;+380 (09) 875-11-19;dvakarchuk@example.org
Оробець;Анастасія;Богданівна;Жінка;17-04-1982;Ді-джей;хутір Теребовля;парк Наливна, буд. 275, Добромиль, 88277;+380 (52) 255-09-34;prokopovychfrants@example.com
Шелест;Марʼяна;Германівна;Жінка;30-07-1952;Кур'єр;хутір Одеса;парк Мічманський 1-й, буд. 1 кв. 2, Валки , 19646;072-66-29;ihnat75@example.com
Гузенко;Геннадій;Валентинович;Чоловік;29-12-1970;Золотар;хутір Радивилів;сквер Нафтовиків, буд. 1, Кам'янка-Дніпровська, 99505;780 15 48;sychaaron@example.com
Дуплій;Олег;Климентович;Чоловік;30-03-1978;Електромонтер;село Кам'янське;провулок Ракетна, буд. 500, Борислав, 60888;+380 76 330 82 97;vbazylevych@example.org
Олійник;Владислав;Іллйович;Чоловік;07-02-1995;Конструктор;місто Новоукраїнка;узвіз Весняна, буд. 2, Надвірна, 25229;+380 70 577-12-39;iaryna76@example.org
Оніщук;Єлисей;Зиновійович;Чоловік;27-12-1963;Водій;селище Кам'янське;сквер Іванова Ігоря, буд. 409 кв. 7, Кременчук, 53412;001 035-95-64;slesyk@example.net
Бабко;Антон;Парменович;Чоловік;13-05-1982;Електрик;місто Ладижин;провулок Академіка Глушка, буд. 741 кв. 5, Виноградів, 34263;599 14 01;shtokaloherman@example.net
Зінченко;Веніямин;Адамович;Чоловік;28-02-2004;Дизайнер;місто Ромни;узвіз Уютна, буд. 60, П'ятихатки, 57720;+380 54 154-83-89;vashchukamaliia@example.com
Прокопович;Андрій;Леопольдович;Чоловік;05-02-1995;Геофізик;хутір Пологи ;сквер 9-та Лінія Дачі Ковалевського, буд. 638 кв. 2, Ічня, 34564;098 737 12 98;onyshchenkosvitlana@example.com
Баранець;Ярослава;Леонівна;Жінка;18-11-1981;Фізик;місто Нове Давидково;вулиця Ломоносова, буд. 24 кв. 997, Краматорськ, 12886;+380 (72) 933-91-65;dvashchuk@example.com
Затовканюк;Арсен;Данилович;Чоловік;21-09-1985;Паблік рилейшнз;місто Ізюм;вулиця Львівський, буд. 397, Федорівка, 69394;+380 56 468-25-62;samoilenkoonysym@example.com
Ярема;Борислав;Семенович;Чоловік;23-03-1987;Етнограф;селище Олександрівськ;проспект Градоначальницька, буд. 02, Турка, 08615;+380 54 993-55-97;wdrozdenko@example.org
Терещук;Марія;Варфоломіївна;Жінка;09-12-1960;Кур'єр;село Могилів-Подільський;площа Аеропортівський 5-й, буд. 8, Борзна, 89606;095 60 75;varfolomiivasylechko@example.net
Ґжицький;Єфрем;Мирославович;Чоловік;29-07-1995;Ветеринар;місто Донецьк;вулиця Сєрогодського, буд. 417, Перечин, 08217;+380 64 011-23-85;somkofedir@example.org
Скоробогатько;Амвросій;Пантелеймонович;Чоловік;21-12-1993;Кушнір;хутір Погребище;сквер Амбулаторний, буд. 0, Ладижин, 88822;+380 80 045-55-58;htelizhenko@example.org
Андрійович;Юхим;Олександрович;Чоловік;25-08-1979;Кухар;селище Зіньків;вулиця Ширшова, буд. 273 кв. 81, Вуглегірськ, 17618;204 99 30;veniiamynhuzii@example.com
Іванченко;Андрій;Геннадійович;Чоловік;31-08-1966;Електромонтажник;село Дніпрорудне;проспект Гаршина, буд. 41, Дніпрорудне, 25172;042 032-85-72;orkhyp00@example.org
Бабак;Ада;Бориславівна;Жінка;13-10-1938;Біолог;місто Щолкіне;набережна Розумовський 2-й, буд. 1, Миколаївка , 51284;846 54 88;parmen74@example.org
Вдовенко;Лілія;Назарівна;Жінка;02-01-1989;Євнух;хутір Красилів;проспект Шишкіна, буд. 0 кв. 6, Генічеськ, 81541;049 58 30;valentyn02@example.com
Москаль;Світлана;Азарівна;Жінка;08-08-1983;Філолог;селище Хрустальний;набережна Водопровідна, буд. 0 кв. 1, Роздільна, 97923;+380 27 663 35 67;xkonoplia@example.org
Бабій;Тетяна;Авреліївна;Жінка;27-07-1938;Геофізик;село Ківерці;шосе Олександра Вронського, буд. 9, Городенка, 34732;080 045 98 84;liubov30@example.net
Черінько;Ірина;Максимівна;Жінка;05-11-1942;Психолог;місто Луцьк;узвіз Моторний 1-й, буд. 52 кв. 2, Новогродівка, 89981;+380 (05) 917-79-23;sofiia24@example.org
Нестайко;Лілія;Марківна;Жінка;22-03-1966;Графік;селище Бахмут;узвіз Лінія 49-та, буд. 739 кв. 644, Суми, 31236;038 428-05-22;niatseniuk@example.com
Цюцюра;Олекса;Онисимович;Чоловік;18-07-1942;Педагог;село Борщів;сквер Степна, буд. 22, Мерефа, 27123;+380 (88) 807-55-70;alinadzhus@example.org
Фартушняк;Августин;Климентович;Чоловік;25-02-1978;Парфюмер;село Вільногірськ;сквер Воронцовський, буд. 383 кв. 389, Привілля, 08740;813 29 61;alinakolodub@example.net
Дубас;Венедикт;Мартинович;Чоловік;12-09-1992;Астрофізик;село Кілія;провулок Лінія 43-тя, буд. 870, Щастя , 31757;+380 81 123-90-86;tereshchenkoaaron@example.net
Чарниш;Панас;Антонович;Чоловік;26-11-1988;Педагог;селище Жовті Води;шосе Кедровий, буд. 286 кв. 4, Новоград-Волинський, 35895;806 78 15;operebyinis@example.org
Юрченко;Михайло;Вадимович;Чоловік;29-09-1990;Соціолог;селище Чорнобиль;сквер Леваневського тупик, буд. 1, Новий Розділ, 93020;072 883 99 92;sviatoslavaholyk@example.org
Дергач;Захар;Святославович;Чоловік;05-06-2001;Реставратор;місто Ямпіль;проспект 7-ма Лінія Дачі Ковалевського, буд. 099 кв. 70, Суходільськ, 02921;+380 38 815-98-32;iosyp84@example.net
Вівчаренко;Еріка;Кирилівна;Жінка;20-11-1954;Фрілансер;хутір Берестечко;проспект Чорноморський 6-й, буд. 41, Лубни, 58875;269-22-56;telychenkobohdan@example.org
Бабʼяк;Анастасія;Олесьівна;Жінка;27-05-1979;Кіноактор;місто Копичинці;парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 53 кв. 107, Бунге , 99491;+380 63 797-19-53;abrahamovskyiiakiv@example.net
Фартушняк;Омелян;Леонович;Чоловік;28-11-1975;Секретар;село Токмак;провулок Олександра Блока, буд. 08 кв. 0, Одеса, 54340;+380 51 801 46 34;pavlopalii@example.net
Демиденко;Амалія;Андріївна;Жінка;28-09-1950;Економіст;селище Кролевець;провулок Путьова, буд. 315 кв. 1, Новодружеськ, 52383;501 59 59;zakusylopetro@example.com
Скорик;Дарина;Пилипівна;Жінка;27-01-1994;Промисловець;село Лутугине;шосе Чорноморський 1-й, буд. 986, Оріхів, 48155;087 889-37-37;serhiiostapchuk@example.org
Ніколюк;Йосип;Святославович;Чоловік;08-04-1974;Юрист;місто Погребище;площа Амбулаторний 1-й, буд. 160 кв. 235, Коломия, 14459;+380 30 253 68 93;ziarema@example.net
Худобʼяк;Клавдія;Спасівна;Жінка;23-07-2006;Юрист;місто Хмельницький;парк Тінистий, буд. 9, Турка, 32073;+380 87 019 64 28;bzabarnyi@example.com
Запорожець;Антон;Спасович;Чоловік;03-10-1984;Інженер;селище Сміла;шосе Учительський, буд. 9, Нова Одеса, 09805;916-26-94;mhavrylenko@example.net
Аврамчук;Лариса;Єфремівна;Жінка;02-05-2006;Промисловець;місто Носівка;проспект Лютнева, буд. 26 кв. 7, Ізюм, 06748;+380 37 796-46-41;zvertyporokh@example.com
Андріїшин;Кирило;Ааронович;Чоловік;06-11-1958;Паралегал;хутір Ківерці;узвіз Стовпова, буд. 3 кв. 9, Світлодарськ, 87240;+380 93 862-95-88;ftsiupa@example.com
Бандера;Аніта;Парменівна;Жінка;02-05-1964;Конструктор;село Зугрес;сквер Грецька, буд. 6 кв. 674, Нікополь, 40919;+380 94 381-71-05;devdiukpylyp@example.net
Скоробогатько;Варфоломій;Яремович;Чоловік;02-08-1941;Клоун;місто Перемишляни;шосе Хлібна гавань, буд. 25, Авдіївка, 16222;+380 52 012-87-81;odarka96@example.org
Баклан;Пармен;Дмитрович;Чоловік;19-05-1976;Драматург;хутір Сулимівка (Слов'янськ);проспект Першотравневий 2-й, буд. 061 кв. 4, Алупка, 87717;+380 35 913-99-73;frantstsymbal@example.com
Шевченко;Петро;Йосипович;Чоловік;13-09-1944;Будник;селище Лисичанськ;провулок Кропивницького, буд. 0 кв. 1, Гребінка, 59139;+380 04 430 27 10;irena43@example.net
Василечко;Святослав;Демʼянович;Чоловік;20-09-1996;Бібліограф;місто Нове Давидково;сквер Економічний, буд. 637, Сквира, 78277;174 55 06;shyianbohuslava@example.com
Шутько;Тетяна;Пилипівна;Жінка;27-08-2006;Піаніст;село Зимогір'я;парк Данила Крижанівського, буд. 4 кв. 5, Нове Давидково, 59414;+380 80 249 70 21;androshchukdemian@example.com
Адаменко;Одарка;Максимівна;Жінка;21-11-1968;Флорист;місто Борзна;сквер Новощіпний ряд, буд. 25, Волочиськ, 56506;881-03-29;hennadii23@example.com
Харченко;Віктор;Валерійович;Чоловік;18-05-1966;Штукатур;хутір Довжанськ;провулок Хімічний 3-й, буд. 77, Мала Виска, 59301;+380 61 495 09 43;leon80@example.com
Штепа;Михайлина;Васильівна;Жінка;02-04-1943;Графік;село Бурштин ;парк Восьмого березня узвіз, буд. 72, Устилуг, 96319;065 019-08-95;kolisnychenkodanna@example.net
Жарко;Віолетта;Назарівна;Жінка;15-03-2001;Єгер;село Заставна;парк Монастирський, буд. 499 кв. 16, Балта, 79912;045 17 31;tytarenkoemiliia@example.net
Сімашкевич;Віолетта;Сергіївна;Жінка;23-12-1988;Електрослюсар;місто Дергачі;вулиця Лунний, буд. 79 кв. 423, Перечин, 67872;+380 95 695-32-24;zivashchenko@example.com
Карпа;Ярина;Леопольдівна;Жінка;19-10-1980;Слідчий;місто Попасна;парк Заводська 3-тя, буд. 76, Бахмут, 18538;+380 (53) 201-47-16;danchukvalentyna@example.org
Венгринович;Мирослав;Зорянович;Чоловік;03-12-1974;Сценарист;селище Пирятин;площа Луганська, буд. 42, Березівка, 58529;982 79 41;ciaremko@example.net
Щорс;Віктор;Єлисейович;Чоловік;20-06-1980;Дипломат;місто Балаклія;узвіз Різдвяна, буд. 86, Бережани, 87161;+380 24 528-89-56;haivoronskyiostap@example.net
Рева;Миколай;Іванович;Чоловік;28-11-2000;Промисловець;хутір Заводське;сквер Ползунова 2-й, буд. 717, Новий Буг, 04314;044 347 57 05;geregaavrelii@example.net
Талан;Арсен;Лесьович;Чоловік;23-10-1959;Композитор;хутір Тульчин;проспект Лермонтовський, буд. 14, Біляївка, 97257;+380 (26) 944-94-42;stepan03@example.com
Давиденко;Єлисавета;Амвросіївна;Жінка;31-05-1945;Піаніст;село Первомайськ;проспект Разумовська, буд. 5 кв. 727, Батурин, 74427;604 22 51;tbaida@example.org
Доценко;Тетяна;Охрімівна;Жінка;05-08-1957;Конструктор;селище Балаклія;сквер Гоголя, буд. 59, Охтирка, 02072;+380 31 903-12-75;iustym03@example.net
Романець;Лариса;Соломонівна;Жінка;31-10-1940;Електрик;місто Вишгород;сквер Ватманський, буд. 0, Винники, 55917;804 71 03;ivanchenkoviktoriia@example.org
Жарко;Віолетта;Петрівна;Жінка;31-05-1982;Графік;місто Лисичанськ;проспект Водопровідний 1-й, буд. 738, Вараш, 68701;519 85 56;hordiiolifirenko@example.net
Скопенко;Станіслав;Бориславович;Чоловік;23-05-1981;Фармацевт;село Чернівці;вулиця Буніна, буд. 45 кв. 61, Мерефа, 97273;+380 36 198-92-35;dannavenhrynovych@example.com
Дейсун;Софія;Леонідівна;Жінка;02-05-1996;Головний меркшейдер;село Ічня;вулиця Академіка Вільямса, буд. 700, Тараща, 60550;010 740-41-83;zlatoslava40@example.net
Корж;Трохим;Владиславович;Чоловік;19-05-2008;Кухар;селище Ківерці;сквер Квіткова, буд. 4, Золотоноша, 73213;+380 03 093 98 90;orestshcherban@example.net
Давиденко;Едита;Охрімівна;Жінка;26-10-2001;Геофізик;місто Радомишль;парк Транспортна, буд. 2 кв. 01, Старокостянтинів, 03715;104 16 51;upanchuk@example.net
Дацюк;Євген;Стефанович;Чоловік;10-01-1963;Фармацевт;місто Дубровиця;площа Некрасова, буд. 812, Бахчисарай, 56625;+380 24 425-64-62;allagzhytskyi@example.net
Захаренко;Златослава;Панасівна;Жінка;30-10-1945;Парфюмер;селище Тернівка ;парк Сливова, буд. 1 кв. 769, Сніжне, 44848;096 321 70 02;baidakvira@example.net
Скорик;Зиновій;Єлисейович;Чоловік;09-04-1966;Дипломат;село Докучаєвськ;площа Манежний, буд. 9 кв. 3, Семенівка, 02179;059 563-80-99;hennadii31@example.com
Даньків;Святослав;Алевтинович;Чоловік;23-10-1942;Педагог;хутір Прип'ять ;шосе Азовський, буд. 8 кв. 26, Покров, 65463;+380 12 239-63-46;nestor76@example.com
Вишняк;Камілла;Богданівна;Жінка;15-11-1954;Футболіст;місто Заліщики;проспект Амбулаторний, буд. 7, Олександрівськ, 50394;433 79 92;khrystyna40@example.org
Базилевський;Пармен;Леонідович;Чоловік;10-09-1994;Парфюмер;селище Мостиська;сквер Вершинна, буд. 86, Житомир, 02648;060 942 38 96;valerii38@example.com
Батуринець;Азар;Романович;Чоловік;25-03-1960;Модель;село Дружба ;парк Зелена гірка, буд. 9, Нове Давидково, 48541;344 56 74;ievdokymenkooryna@example.org
Москаль;Ігнат;Йосипович;Чоловік;25-07-1968;Мистецтвознавець;село Білицьке;площа 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 7, Ніжин, 38164;+380 (87) 874-61-33;ovcharenkoliudmyla@example.com
Зайченко;Тимофій;Сергійович;Чоловік;21-09-1975;Режисер;місто Українськ;сквер Басейний 3-й, буд. 2 кв. 125, Тульчин, 20178;+380 32 730 94 85;ivan13@example.net
Прокопович;Ярина;Ігорівна;Жінка;24-11-1953;Ветеринар;селище Пустомити;шосе Прохоровський, буд. 8 кв. 469, Копичинці, 65942;849 29 54;rbarannyk@example.org
Вернигора;Камілла;Вадимівна;Жінка;21-02-1995;Продюсер;місто Алчевськ;набережна Китобійний 2-й, буд. 847, Верхівцеве, 92795;+380 70 330-09-01;irena43@example.net
Рева;Ада;Орестівна;Жінка;05-09-2001;Фольклорист;село Кролевець;шосе Шевченка парк, буд. 702, Долина , 98827;090 349-13-62;myroniatsenko@example.net
Балабан;Герман;Максимович;Чоловік;02-04-2001;Кінокритик;село Ізюм;вулиця Житкова, буд. 64, Алмазна, 07437;101-34-90;myronkhomenko@example.org
Давиденко;Володимир;Несторович;Чоловік;17-06-1959;Промисловець;селище Горлівка;набережна Обсерваторний, буд. 392 кв. 39, Нова Одеса, 68636;+380 87 757-20-27;sviatoslavabezditko@example.org
Дробаха;Феофан;Геннадійович;Чоловік;14-06-1982;Ювелір;селище Феодосія;парк Березовий, буд. 608, Шпола, 68346;941-96-99;vkalenychenko@example.net
Засуха;Артем;Назарович;Чоловік;29-12-1985;Композитор;хутір Новгород-Сіверський;шосе Радісний, буд. 79 кв. 94, Рені, 20271;+380 55 252-74-83;balabanliudmyla@example.net
Базилевський;Зиновій;Данович;Чоловік;08-05-2002;Гірничий інженер;хутір Чорноморськ;набережна Яблучна, буд. 577 кв. 030, Кіцмань, 50616;+380 10 959-53-45;iukhymvysochan@example.net
Коваленко;Гліб;Олесьович;Чоловік;11-07-1959;Конструктор;місто Зміїв;площа Чорноморський 7-й, буд. 398, Дубляни, 85459;812-35-25;iaroslavakarpa@example.com
Архипенко;Аркадій;Бориславович;Чоловік;22-03-2006;Співак;селище Христинівка;шосе Ботанічний, буд. 2, Красилів, 81590;+380 41 481-77-98;albina79@example.com
Приходько;Нестор;Володимирович;Чоловік;28-08-1939;Петрограф;місто Галич;проспект Одарія, буд. 6 кв. 4, Кременець, 61722;012 87 84;dupliiparmen@example.net
Гупало;Ада;Петрівна;Жінка;27-08-1944;Ювелір;хутір Дергачі;шосе 1-ша Лінія Марії Демченко, буд. 376 кв. 4, Шаргород, 23780;+380 (84) 682-80-26;liliiaivashchenko@example.net
Ребрик;Дарина;Степанівна;Жінка;11-08-1951;Паблік рилейшнз;місто Покров;проспект Куяльницький міст, буд. 54, Пустомити, 99600;942-89-59;valentynapustovit@example.net
Даценко;Амалія;Станіславівна;Жінка;08-04-1971;Ювелір;селище Рахів;парк Соляний 4-й, буд. 5, Новоазовськ, 13709;+380 (36) 735-39-53;wvovk@example.com
Шведченко;Адам;Орестович;Чоловік;29-05-1942;Гінеколог;хутір Апостолове;шосе Мічманський 2-й, буд. 8, Ніжин, 37792;+380 61 516 01 47;htytarenko@example.net
Скиба;Олександр;Лукʼянович;Чоловік;05-04-2002;Палеонтолог;місто Дружківка;проспект Нафтовиків 1-й, буд. 088 кв. 5, Харцизьк, 62481;+380 07 291-73-40;gtytarenko@example.net
Удовенко;Стефан;Ігнатович;Чоловік;11-06-1961;Доцент;хутір Золотоноша;провулок Семінарська, буд. 861, Ржищів, 63627;+380 24 049-88-30;teodor38@example.org
Гавришкевич;Ліза;Авреліївна;Жінка;05-09-1997;Випробувач;хутір Новомосковськ;узвіз Литовська, буд. 848 кв. 72, Молочанськ, 81165;+380 (76) 576-02-48;veresmykhailyna@example.org
Деркач;Володимира;Данилівна;Жінка;12-11-1939;Мовознавець;хутір Червоносів;парк Тупиковий 1-й, буд. 563 кв. 95, Новий Буг, 16539;070 652-43-43;cparasiuk@example.net
Артюшенко;Трохим;Йосипович;Чоловік;29-06-1980;Літературознавець;хутір Жданівка;набережна Казковий, буд. 0 кв. 51, Шумськ, 15331;575-85-49;smykorest@example.org
Баклан;Кирило;Станіславович;Чоловік;22-08-1949;Актор;селище Моршин;узвіз Дубова, буд. 62, Саки , 12664;+380 (07) 604-02-67;pavlenkoanton@example.com
Балабан;Марія;Геннадіївна;Жінка;06-02-1963;Фольклорист;хутір Молодогвардійськ;площа Олександра Блока, буд. 02 кв. 37, Заставна, 60588;+380 29 842 50 29;marianalahoda@example.com
Короленко;Гордій;Хомович;Чоловік;11-06-1980;Зоолог;село Горлівка;узвіз Шкіперська, буд. 01, Боярка, 12020;008 649-74-35;priskadashenko@example.com
Забашта;Оксана;Спасівна;Жінка;24-10-2000;Паралегал;селище Святогірськ;провулок Івахненка Петра, буд. 3, Нова Каховка, 54739;+380 61 531 87 93;rvitruk@example.net
Вахній;Данило;Прохірович;Чоловік;19-02-1960;Державний службовець;місто Новоукраїнка;парк Проценка, буд. 19 кв. 9, Василівка , 50048;+380 69 111-67-18;charnyshalina@example.net
Бандура;Тимофій;Бориславович;Чоловік;30-12-1990;Археолог;хутір Ватутіне;узвіз Будівельний, буд. 102 кв. 430, Івано-Франківськ, 01866;+380 (29) 245-90-44;hresruslan@example.net
Влох;Назар;Теодорович;Чоловік;03-10-1943;Педагог;село Тлумач;набережна Костанді 2-й, буд. 310 кв. 7, Южне, 10372;085 003-39-84;svyrydenkoorysia@example.com
Савенко;Віталій;Остапович;Чоловік;03-06-1941;Ювелір;село Бунге ;провулок Восьмого Березня Лінія 1-ша, буд. 490 кв. 3, Кальміуське, 07569;065 376 66 80;nataliiaievtushok@example.net
Іванченко;Орхип;Симонович;Чоловік;04-05-1990;М'ясник;селище Герца;набережна Олександра Тимошенка, буд. 46 кв. 35, Василівка , 48474;+380 31 936-90-38;vitalii19@example.com
Єрченко;Мирон;Олесьович;Чоловік;14-06-1983;Льотчик;місто Копичинці;провулок Десятого квітня, буд. 5 кв. 65, Перевальськ, 24845;599 66 24;oleksariabchenko@example.net
Андрієнко;Аліна;Гордіївна;Жінка;18-09-1962;Етнограф;селище Кипуче;набережна Дорбуду, буд. 53 кв. 329, Борщів, 07494;020 532-97-18;ievdokymenkoolena@example.org
Атаманчук;Алла;Арсенівна;Жінка;24-03-1940;Модель;село Ланівці;проспект Степний 2-й, буд. 0 кв. 183, Чистякове, 90648;+380 43 167 91 20;kostiantynkharchenko@example.com
Джус;Азар;Валерійович;Чоловік;18-06-1975;Музикант;село Яремче;проспект Сонячна, буд. 9, Підгородне, 41594;+380 13 506 05 73;omelianchmil@example.net
Швайка;Марта;Борисівна;Жінка;14-07-1969;Правник;місто Сміла;вулиця Мазепи Івана, буд. 692, Деражня, 50511;092 612-22-40;ruslansuprunenko@example.com
Філіпенко;Василина;Іванівна;Жінка;07-01-1989;Золотар;село Вуглегірськ;узвіз Морська, буд. 979 кв. 60, Бурштин , 17104;062 919 67 77;kyrylenkohordii@example.com
Килимник;Ігор;Венедиктович;Чоловік;28-11-1983;Палеонтолог;місто Верхньодніпровськ;проспект Польова, буд. 1, Первомайський , 77242;349 01 53;hermansvystun@example.net
Ґерус;Ярослав;Йосипович;Чоловік;13-02-1982;Соціолог;селище Знам'янка;вулиця Дукова, буд. 4, Пологи , 61345;+380 50 192-95-05;ldemianchuk@example.org
Алексюк;Федір;Федірович;Чоловік;21-11-1942;Адвокат;село Бориспіль;набережна Місячна, буд. 4 кв. 479, Іршава, 89334;+380 73 028-03-04;orest18@example.net
Карпа;Камілла;Костянтинівна;Жінка;16-11-1938;Стропальник;село Мирноград;площа Марії Демченко, буд. 913 кв. 639, Заводське, 49937;+380 79 450-67-21;dankomykyta@example.org
Фесенко;Демʼян;Маркович;Чоловік;19-08-2006;Дизайнер;місто Жашків;вулиця Лиманчик 2-й Лінія 2-га, буд. 4 кв. 89, Глухів, 16443;423 49 73;hpushkar@example.org
Шаблій;Марина;Леонтіївна;Жінка;14-02-1983;Епідеміолог;хутір Ровеньки;набережна Лінія 36-та, буд. 896 кв. 628, Тисмениця, 01207;014 668-88-11;tymofii42@example.net
Жаліло;Софія;Кирилівна;Жінка;21-09-1954;Епідеміолог;село Городок;шосе 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 71 кв. 48, Жидачів, 88147;+380 04 978-42-02;dan16@example.org
Фаренюк;Софія;Дмитрівна;Жінка;08-10-1948;Громадський діяч;село Хирів;вулиця Наявний 3-й, буд. 57 кв. 24, Бердичів, 67681;+380 82 111 80 74;orest59@example.net
Фаренюк;Вікторія;Олесьівна;Жінка;30-12-1960;Шериф;село Сєвєродонецьк;парк Штабний, буд. 971 кв. 8, Алушта, 82668;+380 82 073-82-57;zabaramarusia@example.org
Редько;Аніта;Ярославівна;Жінка;30-10-1980;Кінокритик;хутір Жовква;парк ім. С.Ю. Вітте, буд. 2, Теребовля, 01237;887-92-76;bohuslavbabych@example.org
